DATE,BAMLC1A0C13Y
12/31/1996,0.47
1/1/1997,.
1/2/1997,0.48
1/3/1997,0.48
1/6/1997,0.48
1/7/1997,0.48
1/8/1997,0.47
1/9/1997,0.49
1/10/1997,0.60
1/13/1997,0.48
1/14/1997,0.47
1/15/1997,0.48
1/16/1997,0.48
1/17/1997,0.48
1/20/1997,0.48
1/21/1997,0.48
1/22/1997,0.48
1/23/1997,0.47
1/24/1997,0.47
1/27/1997,0.46
1/28/1997,0.47
1/29/1997,0.47
1/30/1997,0.47
1/31/1997,0.48
2/3/1997,0.48
2/4/1997,0.48
2/5/1997,0.48
2/6/1997,0.48
2/7/1997,0.48
2/10/1997,0.48
2/11/1997,0.48
2/12/1997,0.48
2/13/1997,0.49
2/14/1997,0.48
2/17/1997,.
2/18/1997,0.47
2/19/1997,0.47
2/20/1997,0.47
2/21/1997,0.48
2/24/1997,0.47
2/25/1997,0.47
2/26/1997,0.47
2/27/1997,0.48
2/28/1997,0.47
3/3/1997,0.44
3/4/1997,0.43
3/5/1997,0.44
3/6/1997,0.45
3/7/1997,0.45
3/10/1997,0.43
3/11/1997,0.44
3/12/1997,0.44
3/13/1997,0.44
3/14/1997,0.43
3/17/1997,0.43
3/18/1997,0.42
3/19/1997,0.41
3/20/1997,0.39
3/21/1997,0.40
3/24/1997,0.39
3/25/1997,0.40
3/26/1997,0.39
3/27/1997,0.37
3/28/1997,.
3/31/1997,0.40
4/1/1997,0.39
4/2/1997,0.41
4/3/1997,0.40
4/4/1997,0.40
4/7/1997,0.41
4/8/1997,0.40
4/9/1997,0.40
4/10/1997,0.40
4/11/1997,0.39
4/14/1997,0.40
4/15/1997,0.40
4/16/1997,0.40
4/17/1997,0.40
4/18/1997,0.39
4/21/1997,0.38
4/22/1997,0.39
4/23/1997,0.38
4/24/1997,0.38
4/25/1997,0.38
4/28/1997,0.38
4/29/1997,0.39
4/30/1997,0.40
5/1/1997,0.40
5/2/1997,0.40
5/5/1997,0.40
5/6/1997,0.39
5/7/1997,0.40
5/8/1997,0.39
5/9/1997,0.40
5/12/1997,0.39
5/13/1997,0.39
5/14/1997,0.38
5/15/1997,0.40
5/16/1997,0.39
5/19/1997,0.39
5/20/1997,0.40
5/21/1997,0.39
5/22/1997,0.39
5/23/1997,0.39
5/26/1997,.
5/27/1997,0.39
5/28/1997,0.38
5/29/1997,0.40
5/30/1997,0.40
5/31/1997,0.39
6/2/1997,0.40
6/3/1997,0.40
6/4/1997,0.40
6/5/1997,0.40
6/6/1997,0.41
6/9/1997,0.40
6/10/1997,0.40
6/11/1997,0.40
6/12/1997,0.40
6/13/1997,0.40
6/16/1997,0.40
6/17/1997,0.39
6/18/1997,0.40
6/19/1997,0.40
6/20/1997,0.40
6/23/1997,0.39
6/24/1997,0.39
6/25/1997,0.39
6/26/1997,0.40
6/27/1997,0.39
6/30/1997,0.40
7/1/1997,0.40
7/2/1997,0.41
7/3/1997,0.42
7/4/1997,.
7/7/1997,0.40
7/8/1997,0.40
7/9/1997,0.41
7/10/1997,0.41
7/11/1997,0.41
7/14/1997,0.39
7/15/1997,0.41
7/16/1997,0.41
7/17/1997,0.41
7/18/1997,0.41
7/21/1997,0.41
7/22/1997,0.42
7/23/1997,0.40
7/24/1997,0.41
7/25/1997,0.40
7/28/1997,0.41
7/29/1997,0.40
7/30/1997,0.41
7/31/1997,0.42
8/1/1997,0.42
8/4/1997,0.42
8/5/1997,0.42
8/6/1997,0.42
8/7/1997,0.41
8/8/1997,0.41
8/11/1997,0.41
8/12/1997,0.41
8/13/1997,0.41
8/14/1997,0.41
8/15/1997,0.42
8/18/1997,0.41
8/19/1997,0.40
8/20/1997,0.41
8/21/1997,0.41
8/22/1997,0.39
8/25/1997,0.40
8/26/1997,0.40
8/27/1997,0.40
8/28/1997,0.41
8/29/1997,0.39
8/31/1997,0.40
9/1/1997,.
9/2/1997,0.42
9/3/1997,0.41
9/4/1997,0.41
9/5/1997,0.42
9/8/1997,0.42
9/9/1997,0.42
9/10/1997,0.42
9/11/1997,0.42
9/12/1997,0.43
9/15/1997,0.42
9/16/1997,0.43
9/17/1997,0.43
9/18/1997,0.42
9/19/1997,0.43
9/22/1997,0.42
9/23/1997,0.42
9/24/1997,0.43
9/25/1997,0.42
9/26/1997,0.42
9/29/1997,0.42
9/30/1997,0.40
10/1/1997,0.41
10/2/1997,0.41
10/3/1997,0.40
10/6/1997,0.41
10/7/1997,0.41
10/8/1997,0.39
10/9/1997,0.41
10/10/1997,0.46
10/13/1997,0.47
10/14/1997,0.41
10/15/1997,0.41
10/16/1997,0.41
10/17/1997,0.41
10/20/1997,0.41
10/21/1997,0.41
10/22/1997,0.42
10/23/1997,0.42
10/24/1997,0.43
10/27/1997,0.48
10/28/1997,0.42
10/29/1997,0.43
10/30/1997,0.43
10/31/1997,0.49
11/3/1997,0.49
11/4/1997,0.49
11/5/1997,0.50
11/6/1997,0.51
11/7/1997,0.51
11/10/1997,0.50
11/11/1997,0.50
11/12/1997,0.51
11/13/1997,0.51
11/14/1997,0.51
11/17/1997,0.49
11/18/1997,0.48
11/19/1997,0.49
11/20/1997,0.48
11/21/1997,0.51
11/24/1997,0.49
11/25/1997,0.52
11/26/1997,0.53
11/27/1997,0.53
11/28/1997,0.52
11/30/1997,0.52
12/1/1997,0.52
12/2/1997,0.52
12/3/1997,0.52
12/4/1997,0.53
12/5/1997,0.52
12/8/1997,0.51
12/9/1997,0.52
12/10/1997,0.53
12/11/1997,0.53
12/12/1997,0.55
12/15/1997,0.55
12/16/1997,0.56
12/17/1997,0.55
12/18/1997,0.56
12/19/1997,0.54
12/22/1997,0.57
12/23/1997,0.58
12/24/1997,0.59
12/25/1997,.
12/26/1997,0.58
12/29/1997,0.57
12/30/1997,0.56
12/31/1997,0.53
1/1/1998,.
1/2/1998,0.55
1/5/1998,0.56
1/6/1998,0.56
1/7/1998,0.55
1/8/1998,0.56
1/9/1998,0.56
1/12/1998,0.54
1/13/1998,0.55
1/14/1998,0.55
1/15/1998,0.55
1/16/1998,0.54
1/19/1998,0.53
1/20/1998,0.53
1/21/1998,0.55
1/22/1998,0.55
1/23/1998,0.54
1/26/1998,0.54
1/27/1998,0.53
1/28/1998,0.55
1/29/1998,0.55
1/30/1998,0.56
1/31/1998,0.55
2/2/1998,0.56
2/3/1998,0.55
2/4/1998,0.56
2/5/1998,0.55
2/6/1998,0.56
2/9/1998,0.56
2/10/1998,0.55
2/11/1998,0.56
2/12/1998,0.56
2/13/1998,0.56
2/16/1998,0.55
2/17/1998,0.53
2/18/1998,0.55
2/19/1998,0.55
2/20/1998,0.55
2/23/1998,0.54
2/24/1998,0.54
2/25/1998,0.55
2/26/1998,0.55
2/27/1998,0.55
2/28/1998,0.54
3/2/1998,0.51
3/3/1998,0.51
3/4/1998,0.51
3/5/1998,0.51
3/6/1998,0.51
3/9/1998,0.51
3/10/1998,0.51
3/11/1998,0.52
3/12/1998,0.51
3/13/1998,0.51
3/16/1998,0.51
3/17/1998,0.51
3/18/1998,0.51
3/19/1998,0.51
3/20/1998,0.51
3/23/1998,0.51
3/24/1998,0.50
3/25/1998,0.50
3/26/1998,0.50
3/27/1998,0.50
3/30/1998,0.50
3/31/1998,0.50
4/1/1998,0.51
4/2/1998,0.51
4/3/1998,0.50
4/6/1998,0.49
4/7/1998,0.51
4/8/1998,0.49
4/9/1998,0.50
4/10/1998,.
4/13/1998,0.49
4/14/1998,0.50
4/15/1998,0.50
4/16/1998,0.50
4/17/1998,0.50
4/20/1998,0.50
4/21/1998,0.49
4/22/1998,0.50
4/23/1998,0.50
4/24/1998,0.50
4/27/1998,0.50
4/28/1998,0.49
4/29/1998,0.50
4/30/1998,0.49
5/1/1998,0.49
5/4/1998,0.48
5/5/1998,0.48
5/6/1998,0.50
5/7/1998,0.49
5/8/1998,0.49
5/11/1998,0.48
5/12/1998,0.49
5/13/1998,0.48
5/14/1998,0.48
5/15/1998,0.47
5/18/1998,0.48
5/19/1998,0.47
5/20/1998,0.48
5/21/1998,0.47
5/22/1998,0.48
5/25/1998,0.48
5/26/1998,0.47
5/27/1998,0.47
5/28/1998,0.48
5/29/1998,0.47
5/31/1998,0.47
6/1/1998,0.48
6/2/1998,0.48
6/3/1998,0.48
6/4/1998,0.48
6/5/1998,0.48
6/8/1998,0.48
6/9/1998,0.47
6/10/1998,0.48
6/11/1998,0.49
6/12/1998,0.49
6/15/1998,0.48
6/16/1998,0.48
6/17/1998,0.48
6/18/1998,0.48
6/19/1998,0.49
6/22/1998,0.47
6/23/1998,0.48
6/24/1998,0.48
6/25/1998,0.48
6/26/1998,0.48
6/29/1998,0.48
6/30/1998,0.48
7/1/1998,0.50
7/2/1998,0.50
7/3/1998,0.49
7/6/1998,0.49
7/7/1998,0.49
7/8/1998,0.50
7/9/1998,0.50
7/10/1998,0.50
7/13/1998,0.49
7/14/1998,0.49
7/15/1998,0.49
7/16/1998,0.49
7/17/1998,0.49
7/20/1998,0.49
7/21/1998,0.49
7/22/1998,0.49
7/23/1998,0.50
7/24/1998,0.49
7/27/1998,0.48
7/28/1998,0.48
7/29/1998,0.48
7/30/1998,0.49
7/31/1998,0.51
8/3/1998,0.52
8/4/1998,0.51
8/5/1998,0.52
8/6/1998,0.51
8/7/1998,0.50
8/10/1998,0.51
8/11/1998,0.51
8/12/1998,0.52
8/13/1998,0.51
8/14/1998,0.52
8/17/1998,0.51
8/18/1998,0.51
8/19/1998,0.52
8/20/1998,0.52
8/21/1998,0.52
8/24/1998,0.53
8/25/1998,0.54
8/26/1998,0.54
8/27/1998,0.50
8/28/1998,0.68
8/31/1998,0.82
9/1/1998,0.80
9/2/1998,0.79
9/3/1998,0.80
9/4/1998,0.80
9/7/1998,0.80
9/8/1998,0.80
9/9/1998,0.82
9/10/1998,0.85
