Dt,Adj Close,Volume,SMAVG (15)
12/10/1987,130.482,,
12/11/1987,131.2,,
12/14/1987,134.853,,
12/15/1987,135.43,,
12/16/1987,138.261,,
12/17/1987,136.236,,
12/18/1987,139.311,,
12/21/1987,139.796,,
12/22/1987,139.725,,
12/23/1987,141.445,,
12/24/1987,141.075,,
12/28/1987,137.684,,
12/29/1987,137.232,,
12/30/1987,138.93,,
12/31/1987,138.658,,
1/4/1988,143.34,,
1/5/1988,145.065,,
1/6/1988,145.419,,
1/7/1988,146.524,,
1/8/1988,138.027,,
1/11/1988,139.404,,
1/12/1988,138.184,,
1/13/1988,138.457,,
1/14/1988,138.544,,
1/15/1988,141.815,,
1/18/1988,141.853,,
1/19/1988,140.803,,
1/20/1988,137.346,,
1/21/1988,137.618,,
1/22/1988,139.339,,
1/25/1988,142.039,,
1/26/1988,140.977,,
1/27/1988,140.895,,
1/28/1988,142.79,,
1/29/1988,144.635,,
2/1/1988,144.145,,
2/2/1988,144.385,,
2/3/1988,142.79,,
2/4/1988,142.735,,
2/5/1988,142.343,,
2/8/1988,141.347,,
2/9/1988,142.567,,
2/10/1988,145.087,,
2/11/1988,144.913,,
2/12/1988,145.691,,
2/16/1988,146.823,,
2/17/1988,146.328,,
2/18/1988,145.8,,
2/19/1988,147.547,,
2/22/1988,149.485,,
2/23/1988,149.404,,
2/24/1988,149.398,,
2/25/1988,148.293,,
2/26/1988,148.636,,
2/29/1988,151.303,,
3/1/1988,151.091,,
3/2/1988,151.739,,
3/3/1988,151.848,,
3/4/1988,151.603,,
3/7/1988,151.777,,
3/8/1988,152.833,,
3/9/1988,152.877,,
3/10/1988,150.291,,
3/11/1988,150.601,,
3/14/1988,151.352,,
3/15/1988,151.124,,
3/16/1988,152.414,,
3/17/1988,153.78,,
3/18/1988,153.764,,
3/21/1988,152.55,,
3/22/1988,152.67,,
3/23/1988,152.909,,
3/24/1988,150.068,,
3/25/1988,147.689,,
3/28/1988,147.145,,
3/29/1988,148.222,,
3/30/1988,147.286,,
3/31/1988,147.847,,
4/4/1988,146.415,,
4/5/1988,147.428,,
4/6/1988,150.775,,
4/7/1988,151.233,,
4/8/1988,152.937,,
4/11/1988,153.361,,
4/12/1988,154.069,,
4/13/1988,154.074,,
4/14/1988,148.168,,
4/15/1988,147.95,,
4/18/1988,147.694,,
4/19/1988,147.27,,
4/20/1988,146.263,,
4/21/1988,146.241,,
4/22/1988,147.934,,
4/25/1988,149.039,,
4/26/1988,149.915,,
4/27/1988,149.926,,
4/28/1988,149.355,,
4/29/1988,148.979,,
5/2/1988,149.017,,
5/3/1988,149.768,,
5/4/1988,148.625,,
5/5/1988,147.792,,
5/6/1988,147.204,,
5/9/1988,146.508,,
5/10/1988,146.889,,
5/11/1988,144.597,,
5/12/1988,145,,
5/13/1988,146.399,,
5/16/1988,147.264,,
5/17/1988,145.876,,
5/18/1988,143.721,,
5/19/1988,144.129,,
5/20/1988,144.319,,
5/23/1988,143.198,,
5/24/1988,144.472,,
5/25/1988,144.777,,
5/26/1988,145.288,,
5/27/1988,144.728,,
5/31/1988,148.821,,
6/1/1988,151.363,,
6/2/1988,150.726,,
6/3/1988,151.396,,
6/6/1988,151.777,,
6/7/1988,150.982,,
6/8/1988,154.08,,
6/9/1988,153.72,,
6/10/1988,154.221,,
6/13/1988,154.352,,
6/14/1988,155.773,,
6/15/1988,155.936,,
6/16/1988,153.84,,
6/17/1988,154.096,,
6/20/1988,153.296,,
6/21/1988,154.608,,
6/22/1988,156.627,,
6/23/1988,156.458,,
6/24/1988,156.077,,
6/27/1988,153.938,,
6/28/1988,155.457,,
6/29/1988,154.923,,
6/30/1988,156.29,,
7/1/1988,155.566,,
7/5/1988,157.329,,
7/6/1988,155.528,,
7/7/1988,155.468,,
7/8/1988,154.7,,
7/11/1988,154.853,,
7/12/1988,153.66,,
7/13/1988,154.189,,
7/14/1988,154.613,,
7/15/1988,155.321,,
7/18/1988,154.744,,
7/19/1988,153.563,,
7/20/1988,154.248,,
7/21/1988,152.621,,
7/22/1988,151.042,,
7/25/1988,151.521,,
7/26/1988,151.739,,
7/27/1988,150.4,,
7/28/1988,151.989,,
7/29/1988,154.766,,
8/1/1988,155.065,,
8/2/1988,155.043,,
8/3/1988,155.539,,
8/4/1988,155.125,,
8/5/1988,154.624,,
8/8/1988,154.096,,
8/9/1988,152.3,,
8/10/1988,149.768,,
8/11/1988,150.133,,
8/12/1988,150.002,,
8/15/1988,148.037,,
8/16/1988,148.968,,
8/17/1988,149.137,,
8/18/1988,149.349,,
8/19/1988,149.11,,
8/22/1988,147.379,,
8/23/1988,147.368,,
8/24/1988,149.295,,
8/25/1988,148.358,,
8/26/1988,148.582,,
8/29/1988,149.937,,
8/30/1988,150.106,,
8/31/1988,149.796,,
9/1/1988,148.141,,
9/2/1988,150.999,,
9/6/1988,151.576,,
9/7/1988,151.788,,
9/8/1988,151.984,,
9/9/1988,152.539,,
9/12/1988,152.408,,
9/13/1988,152.8,,
9/14/1988,153.715,,
9/15/1988,153.198,,
9/16/1988,154.33,,
9/19/1988,153.595,,
9/20/1988,154.036,,
9/21/1988,154.341,,
9/22/1988,153.835,,
9/23/1988,154.183,,
9/26/1988,153.617,,
9/27/1988,153.285,,
9/28/1988,153.753,,
9/29/1988,155.506,,
9/30/1988,155.424,,
10/3/1988,154.902,,
10/4/1988,154.613,,
10/5/1988,155.239,,
10/6/1988,155.533,,
10/7/1988,158.119,,
10/10/1988,158.249,,
10/11/1988,158.092,,
10/12/1988,156.105,,
10/13/1988,156.627,,
10/14/1988,156.812,,
10/17/1988,157.15,,
10/18/1988,158.505,,
10/19/1988,157.422,,
10/20/1988,160.155,,
10/21/1988,160.498,,
10/24/1988,160.013,,
10/25/1988,159.942,,
10/26/1988,159.393,,
10/27/1988,157.313,,
10/28/1988,157.863,,
10/31/1988,157.994,,
11/1/1988,158.086,,
11/2/1988,158.043,,
11/3/1988,158.173,,
